Date,Time,inches,inches,Raw,Alarm,Date,Time,Date/Time,Storm,Storm Start,Inc. Time,Total Time,Time (Min.),Time(Min.),Precip.(In)
,,,,,,,,,,,,,,0.00,0
4/21/1998,13:58:26,0.04,0.04,1,,35906,0.582245,35906.582,35906.58225,1,0,0,0,5.00,0.04
4/21/1998,13:59:35,0.16,0.12,4,,35906,0.583044,35906.583,35906.58304,,0.000798611,0.000798611,1.15,6.15,0.16
4/21/1998,14:14:21,0.2,0.04,5,,35906,0.593299,35906.593,35906.5933,,0.01025463,0.011053241,15.92,20.92,0.2
,,,,,,,,,35906.59329,,,,,0.00,0
4/26/1998,0:35:51,0.43,0.23,11,,35911,0.024896,35911.025,35911.0249,1,0,0,0.00,5.00,0.23
4/26/1998,1:15:47,0.47,0.04,12,,35911,0.052627,35911.053,35911.05263,,0.027731481,0.027731481,39.93,44.93,0.27
4/26/1998,1:42:02,0.51,0.04,13,,35911,0.070856,35911.071,35911.07086,,0.018229167,0.045960648,66.18,71.18,0.31
4/26/1998,2:12:04,0.55,0.04,14,,35911,0.091713,35911.092,35911.09171,,0.020856481,0.06681713,96.22,101.22,0.35
4/26/1998,2:38:58,0.59,0.04,15,,35911,0.110394,35911.110,35911.11039,,0.018680556,0.085497685,123.12,128.12,0.39
4/26/1998,2:55:30,0.63,0.04,16,,35911,0.121875,35911.122,35911.12188,,0.011481481,0.096979167,139.65,144.65,0.43
4/26/1998,3:08:12,0.67,0.04,17,,35911,0.130694,35911.131,35911.13069,,0.008819444,0.105798611,152.35,157.35,0.47
4/26/1998,3:32:03,0.71,0.04,18,,35911,0.147257,35911.147,35911.14726,,0.0165625,0.122361111,176.20,181.20,0.51
4/26/1998,3:46:37,0.75,0.04,19,,35911,0.157373,35911.157,35911.15737,,0.010115741,0.132476852,190.77,195.77,0.55
4/26/1998,4:22:39,0.83,0.08,21,,35911,0.182396,35911.182,35911.1824,,0.025023148,0.1575,226.80,231.80,0.63
4/26/1998,4:58:05,0.87,0.04,22,,35911,0.207002,35911.207,35911.207,,0.024606481,0.182106481,262.23,267.23,0.67
4/26/1998,5:26:23,0.91,0.04,23,,35911,0.226655,35911.227,35911.22666,,0.019652778,0.201759259,290.53,295.53,0.71
4/26/1998,5:43:37,0.94,0.03,24,,35911,0.238623,35911.239,35911.23862,,0.011967593,0.213726852,307.77,312.77,0.74
4/26/1998,6:05:29,0.98,0.04,25,,35911,0.253808,35911.254,35911.25381,,0.015185185,0.228912037,329.63,334.63,0.78
4/26/1998,6:16:19,1.02,0.04,26,,35911,0.261331,35911.261,35911.26133,,0.007523148,0.236435185,340.47,345.47,0.82
4/26/1998,6:40:11,1.06,0.04,27,,35911,0.277905,35911.278,35911.27791,,0.016574074,0.253009259,364.33,369.33,0.86
,,,,,,,,,35911.2779,,,,,0.00,0
5/6/1998,13:31:02,1.38,0.04,35,,35921,0.563218,35921.563,35921.56322,1,0,0,0.00,5.00,0.04
5/6/1998,13:40:21,1.42,0.04,36,,35921,0.569688,35921.570,35921.56969,,0.006469907,0.006469907,9.32,14.32,0.08
5/6/1998,13:46:35,1.46,0.04,37,,35921,0.574016,35921.574,35921.57402,,0.004328704,0.010798611,15.55,20.55,0.12
,,,,,,,,,35921.57401,,,,,0.00,0
5/7/1998,0:44:11,1.93,0.08,49,,35922,0.030683,35922.031,35922.03068,1,0,0,0.00,5.00,0.08
5/7/1998,0:57:45,1.97,0.04,50,,35922,0.040104,35922.040,35922.0401,,0.009421296,0.009421296,13.57,18.57,0.12
5/7/1998,1:17:56,2.01,0.04,51,,35922,0.054120,35922.054,35922.05412,,0.014016204,0.0234375,33.75,38.75,0.16
5/7/1998,2:09:43,2.09,0.08,53,,35922,0.090081,35922.090,35922.09008,,0.035960648,0.059398148,85.53,90.53,0.24
5/7/1998,2:39:17,2.13,0.04,54,,35922,0.110613,35922.111,35922.11061,,0.020532407,0.079930556,115.10,120.10,0.28
5/7/1998,3:21:29,2.17,0.04,55,,35922,0.139919,35922.140,35922.13992,,0.029305556,0.109236111,157.30,162.30,0.32
5/7/1998,3:36:44,2.2,0.03,56,,35922,0.150509,35922.151,35922.15051,,0.010590278,0.119826389,172.55,177.55,0.35
5/7/1998,4:00:27,2.28,0.08,58,,35922,0.166979,35922.167,35922.16698,,0.016469907,0.136296296,196.27,201.27,0.43
,,,,,,,,,35922.16697,,,,,0.00,0
5/8/1998,17:25:59,2.56,0.24,65,,35923,0.726377,35923.726,35923.72638,1,0,0,0.00,5.00,0.24
5/8/1998,17:34:47,2.6,0.04,66,,35923,0.732488,35923.732,35923.73249,,0.006111111,0.006111111,8.80,13.80,0.28
5/8/1998,18:06:27,2.68,0.08,68,,35923,0.754479,35923.754,35923.75448,,0.021990741,0.028101852,40.47,45.47,0.36
5/8/1998,19:01:59,2.76,0.08,70,,35923,0.793044,35923.793,35923.79304,,0.038564815,0.066666667,96.00,101.00,0.44
5/8/1998,20:29:07,2.8,0.04,71,,35923,0.853553,35923.854,35923.85355,,0.060509259,0.127175926,183.13,188.13,0.48
5/8/1998,20:57:37,2.83,0.03,72,,35923,0.873345,35923.873,35923.87334,,0.019791667,0.146967593,211.63,216.63,0.51
5/8/1998,22:18:42,2.87,0.04,73,,35923,0.929653,35923.930,35923.92965,,0.05630787,0.203275463,292.72,297.72,0.55
,,,,,,,,,35923.92964,,,,,0.00,0
6/5/1998,7:39:52,3.35,0.16,85,,35951,0.319352,35951.319,35951.31935,1,0,0,0.00,5.00,0.16
6/5/1998,9:12:42,3.39,0.04,86,,35951,0.383819,35951.384,35951.38382,,0.064467593,0.064467593,92.83,97.83,0.2
6/5/1998,10:09:59,3.43,0.04,87,,35951,0.423600,35951.424,35951.4236,,0.039780093,0.104247685,150.12,155.12,0.24
6/5/1998,10:30:13,3.46,0.03,88,,35951,0.437650,35951.438,35951.43765,,0.014050926,0.118298611,170.35,175.35,0.27
6/5/1998,15:09:20,3.5,0.04,89,,35951,0.631481,35951.631,35951.63148,,0.193831019,0.31212963,449.47,454.47,0.31
,,,,,,,,,35951.63147,,,,,0.00,0
6/17/1998,11:04:21,0.04,0.04,1,,35963,0.461354,35963.461,35963.46135,1,0,0,0.00,5.00,0.04
6/17/1998,11:04:50,0.08,0.04,2,,35963,0.461690,35963.462,35963.46169,,0.000335648,0.000335648,0.48,5.48,0.08
6/17/1998,11:18:16,0.08,0.04,2,,35963,0.471019,35963.471,35963.47102,,0.009328704,0.009664352,13.92,18.92,0.12
