subcatch_id,area,imperv_percent,depress_stor_perv,depress_stor_imperv,hrtn_init, hrtn_decay, hrtn_final,storm_id,total_rain,time,area_acre,imp_area,perv_area,imp_vol,infil,per_vol,runoff
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/23/2015-0:19:56,0.36,2083,80.09536,4.877807424,75.217552576,0.10568582752,0.872474629228,0.0,0.10568582752
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/3/2015-16:55:44,0.12,762,80.09536,4.877807424,75.217552576,0.00812967904,0.53383439716,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/19/2015-0:47:25,0.16,3777,80.09536,4.877807424,75.217552576,0.02438903712,1.15625620073,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/16/2015-1:39:58,0.12,4188,80.09536,4.877807424,75.217552576,0.00812967904,1.22242860894,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/14/2015-16:33:38,0.2,4139,80.09536,4.877807424,75.217552576,0.0406483952,1.21455071814,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/13/2015-17:43:11,0.2,836,80.09536,4.877807424,75.217552576,0.0406483952,0.563146562278,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/10/2015-13:53:49,1.48,5568,80.09536,4.877807424,75.217552576,0.56094785376,1.44380232306,0.0,0.56094785376
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/21/2015-14:38:41,0.12,516,80.09536,4.877807424,75.217552576,0.00812967904,0.416447566321,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/10/2015-20:55:40,0.2,2602,80.09536,4.877807424,75.217552576,0.0406483952,0.963511184778,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/9/2015-21:12:23,0.32,7247,80.09536,4.877807424,75.217552576,0.08942646944,1.7128361608,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/8/2015-13:45:00,0.12,3445,80.09536,4.877807424,75.217552576,0.00812967904,1.10255972074,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/7/2015-15:41:37,0.12,3249,80.09536,4.877807424,75.217552576,0.00812967904,1.07068325863,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/5/2015-17:39:41,0.16,2108,80.09536,4.877807424,75.217552576,0.02438903712,0.877051433414,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/24/2015-17:34:10,0.32,765,80.09536,4.877807424,75.217552576,0.08942646944,0.535068867678,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/12/2015-5:21:42,0.92,17428,80.09536,4.877807424,75.217552576,0.33331684064,3.34404418709,0.0,0.33331684064
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/11/2015-17:23:13,1.2,11826,80.09536,4.877807424,75.217552576,0.4471323472,2.44648788762,0.0,0.4471323472
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/5/2015-20:55:30,0.12,815,80.09536,4.877807424,75.217552576,0.00812967904,0.55506219688,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/5/2015-13:41:07,0.12,882,80.09536,4.877807424,75.217552576,0.00812967904,0.580252389476,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,6/5/2015-0:16:32,0.12,779,80.09536,4.877807424,75.217552576,0.00812967904,0.540776405424,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/22/2015-20:42:25,0.32,4277,80.09536,4.877807424,75.217552576,0.08942646944,1.23673171923,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/22/2015-6:01:59,0.2,6847,80.09536,4.877807424,75.217552576,0.0406483952,1.64874662761,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/19/2015-1:13:40,0.64,21067,80.09536,4.877807424,75.217552576,0.21950133408,3.92708727395,0.0,0.21950133408
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/16/2015-13:14:04,0.6,4439,80.09536,4.877807424,75.217552576,0.203241976,1.26275075147,0.0,0.203241976
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/14/2015-20:05:22,0.12,227,80.09536,4.877807424,75.217552576,0.00812967904,0.221426932704,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/10/2015-9:14:20,0.28,4935,80.09536,4.877807424,75.217552576,0.07316711136,1.34233058052,0.0,0.07316711136
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/9/2015-16:03:26,0.72,11103,80.09536,4.877807424,75.217552576,0.25202005024,2.33064832871,0.0,0.25202005024
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/9/2015-8:36:38,0.16,1161,80.09536,4.877807424,75.217552576,0.02438903712,0.669479773453,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/8/2015-21:02:11,0.2,8962,80.09536,4.877807424,75.217552576,0.0406483952,1.98761578052,0.0,0.0406483952
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/8/2015-13:24:12,0.24,1082,80.09536,4.877807424,75.217552576,0.05690775328,0.646392596941,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/7/2015-19:05:03,0.16,9035,80.09536,4.877807424,75.217552576,0.02438903712,1.99931189751,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/5/2015-12:37:30,0.48,19649,80.09536,4.877807424,75.217552576,0.15446390176,3.69989433711,0.0,0.15446390176
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,5/1/2015-15:48:36,0.16,962,80.09536,4.877807424,75.217552576,0.02438903712,0.60819522275,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/26/2015-8:36:35,1.04,51742,80.09536,4.877807424,75.217552576,0.38209491488,8.84185690562,0.0,0.38209491488
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/19/2015-1:36:35,0.12,5874,80.09536,4.877807424,75.217552576,0.00812967904,1.49284022725,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/17/2015-9:06:45,1.32,17670,80.09536,4.877807424,75.217552576,0.49591042144,3.3828175938,0.0,0.49591042144
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,4/16/2015-13:00:36,0.32,6267,80.09536,4.877807424,75.217552576,0.08942646944,1.55581411809,0.0,0.08942646944
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/29/2014-20:40:06,0.16,5565,80.09536,4.877807424,75.217552576,0.02438903712,1.44332152837,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/29/2014-14:07:54,0.68,9849,80.09536,4.877807424,75.217552576,0.23576069216,2.12973157497,0.0,0.23576069216
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/22/2014-15:37:54,0.12,207,80.09536,4.877807424,75.217552576,0.00812967904,0.204782280832,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/21/2014-20:03:31,0.44,5919,80.09536,4.877807424,75.217552576,0.13820454368,1.5000512569,0.0,0.13820454368
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/9/2014-14:01:11,0.12,2264,80.09536,4.877807424,75.217552576,0.00812967904,0.90508451841,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/5/2014-0:52:45,0.16,1689,80.09536,4.877807424,75.217552576,0.02438903712,0.795944449006,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,9/4/2014-18:01:30,0.44,19152,80.09536,4.877807424,75.217552576,0.13820454368,3.62026465473,0.0,0.13820454368
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/20/2014-8:27:33,0.24,2206,80.09536,4.877807424,75.217552576,0.05690775328,0.894760259795,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/15/2014-16:13:45,0.12,1002,80.09536,4.877807424,75.217552576,0.00812967904,0.621388044524,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,8/7/2014-12:29:58,0.36,856,80.09536,4.877807424,75.217552576,0.10568582752,0.570683092441,0.0,0.10568582752
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/30/2014-16:35:11,0.48,20561,80.09536,4.877807424,75.217552576,0.15446390176,3.84601560537,0.0,0.15446390176
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/30/2014-2:26:09,0.24,10990,80.09536,4.877807424,75.217552576,0.05690775328,2.3125433906,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/29/2014-16:00:17,0.24,11070,80.09536,4.877807424,75.217552576,0.05690775328,2.32536104591,0.0,0.05690775328
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/25/2014-19:03:04,0.12,4669,80.09536,4.877807424,75.217552576,0.00812967904,1.29966487129,0.0,0.00812967904
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/22/2014-8:49:12,0.16,2344,80.09536,4.877807424,75.217552576,0.02438903712,0.919159223505,0.0,0.02438903712
WQ110,0.125149,6.09,0.35,0.1,4.151917326,0.001799995,0.57679448,7/16/2014-20:43:05,0.12,3411,80.09536,4.877807424,75.217552576,0.00812967904,1.09704162265,0.0,0.00812967904
